date,time,status,lat,lon,altitude,now
2016/07/05,8:00:02,1,35.447733,140.220712,145,0
2016/07/05,8:00:04,1,35.447733,140.220712,145,0
2016/07/05,8:00:06,1,35.44761,140.220583,144,0
2016/07/05,8:00:08,1,35.44761,140.220583,144,0
2016/07/05,8:00:10,1,35.447528,140.220497,145,0
2016/07/05,8:00:12,1,35.447482,140.220433,144,0
2016/07/05,8:00:14,1,35.447415,140.220342,146,0
2016/07/05,8:00:16,1,35.447375,140.22029,146,1
2016/07/05,8:00:18,1,35.447342,140.220247,144,0
2016/07/05,8:00:20,1,35.447312,140.220205,145,0
2016/07/05,8:00:22,1,35.447312,140.220205,145,0
2016/07/05,8:00:24,1,35.447312,140.220205,145,0
2016/07/05,8:00:26,1,35.447312,140.220205,145,0
2016/07/05,8:00:28,1,35.447312,140.220205,145,0
2016/07/05,8:00:30,1,35.447312,140.220205,145,0
2016/07/05,8:00:32,1,35.447115,140.21997,147,0
2016/07/05,8:00:34,1,35.447077,140.219888,148,0
2016/07/05,8:00:36,1,35.44699,140.219842,149,1
2016/07/05,8:00:38,1,35.44699,140.219842,149,0
2016/07/05,8:00:40,1,35.44699,140.219842,149,0
2016/07/05,8:00:42,1,35.44699,140.219842,149,0
2016/07/05,8:00:44,1,35.44699,140.219842,149,0
2016/07/05,8:00:46,1,35.44699,140.219842,149,0
2016/07/05,8:00:48,1,35.44699,140.219842,149,0
2016/07/05,8:00:50,1,35.445822,140.219382,149,0
2016/07/05,8:00:52,1,35.445643,140.219295,147,0
2016/07/05,8:00:54,1,35.445468,140.21923,145,1
2016/07/05,8:00:56,1,35.445468,140.21923,145,0
2016/07/05,8:00:58,1,35.445468,140.21923,145,0
2016/07/05,8:01:00,1,35.445468,140.21923,145,0
2016/07/05,8:01:02,1,35.445468,140.21923,145,0
2016/07/05,8:01:04,1,35.445468,140.21923,145,0
2016/07/05,8:01:06,1,35.445468,140.21923,145,0
2016/07/05,8:01:08,1,35.445468,140.21923,145,0
2016/07/05,8:01:10,1,35.445468,140.21923,145,0
2016/07/05,8:01:12,1,35.445468,140.21923,145,0
2016/07/05,8:01:14,1,35.445468,140.21923,145,1
2016/07/05,8:01:16,1,35.445468,140.21923,145,0
2016/07/05,8:01:18,1,35.445468,140.21923,145,0
2016/07/05,8:01:20,1,35.445468,140.21923,145,0
2016/07/05,8:01:22,1,35.445468,140.21923,145,0
2016/07/05,8:01:24,1,35.445468,140.21923,145,0
2016/07/05,8:01:26,1,35.445468,140.21923,145,0
2016/07/05,8:01:28,1,35.445468,140.21923,145,0
2016/07/05,8:01:30,1,35.445468,140.21923,145,0
2016/07/05,8:01:32,1,35.445468,140.21923,145,1
2016/07/05,8:01:34,1,35.445468,140.21923,145,0
2016/07/05,8:01:36,1,35.445468,140.21923,145,0
2016/07/05,8:01:38,1,35.445468,140.21923,145,0
2016/07/05,8:01:40,1,35.445468,140.21923,145,0
2016/07/05,8:01:42,1,35.445468,140.21923,145,0
2016/07/05,8:01:44,1,35.445468,140.21923,145,0
2016/07/05,8:01:46,1,35.445468,140.21923,145,0
2016/07/05,8:01:48,1,35.445468,140.21923,145,0
2016/07/05,8:01:50,1,35.445468,140.21923,145,0
2016/07/05,8:01:52,1,35.445468,140.21923,145,1
2016/07/05,8:01:54,1,35.445468,140.21923,145,0
2016/07/05,8:01:56,1,35.445468,140.21923,145,0
2016/07/05,8:01:58,1,35.445468,140.21923,145,0
2016/07/05,8:02:00,1,35.445468,140.21923,145,0
2016/07/05,8:02:02,1,35.445468,140.21923,145,0
2016/07/05,8:02:04,1,35.445468,140.21923,145,0
2016/07/05,8:02:06,1,35.445468,140.21923,145,0
2016/07/05,8:02:08,1,35.445468,140.21923,145,0
2016/07/05,8:02:10,1,35.445468,140.21923,145,1
2016/07/05,8:02:12,1,35.445468,140.21923,145,0
2016/07/05,8:02:14,1,35.445468,140.21923,145,0
2016/07/05,8:02:16,1,35.445468,140.21923,145,0
2016/07/05,8:02:18,1,35.445468,140.21923,145,0
2016/07/05,8:02:20,1,35.445468,140.21923,145,0
2016/07/05,8:02:22,1,35.445468,140.21923,145,0
2016/07/05,8:02:24,1,35.445468,140.21923,145,0
2016/07/05,8:02:26,1,35.445468,140.21923,145,0
2016/07/05,8:02:28,1,35.436198,140.218315,71,0
2016/07/05,8:02:30,1,35.436198,140.218315,71,1
2016/07/05,8:02:32,1,35.436198,140.218315,71,0
2016/07/05,8:02:34,1,35.436198,140.218315,71,0
2016/07/05,8:02:36,1,35.436198,140.218315,71,0
2016/07/05,8:02:38,1,35.436198,140.218315,71,0
2016/07/05,8:02:40,1,35.436198,140.218315,71,0
2016/07/05,8:02:42,1,35.434502,140.217792,60,0
2016/07/05,8:02:44,1,35.43443,140.217708,60,0
2016/07/05,8:02:46,1,35.434305,140.21763,58,0
2016/07/05,8:02:48,1,35.434188,140.217508,57,1
2016/07/05,8:02:50,1,35.43412,140.217363,59,0
2016/07/05,8:02:52,1,35.43412,140.217363,59,0
2016/07/05,8:02:54,1,35.43412,140.217363,59,0
2016/07/05,8:02:56,1,35.43412,140.217363,59,0
2016/07/05,8:02:58,1,35.43412,140.217363,59,0
2016/07/05,8:03:00,1,35.43412,140.217363,59,0
2016/07/05,8:03:02,1,35.43412,140.217363,59,0
2016/07/05,8:03:04,1,35.43412,140.217363,59,0
2016/07/05,8:03:06,1,35.43412,140.217363,59,0
2016/07/05,8:03:08,1,35.43412,140.217363,59,1
2016/07/05,8:03:10,1,35.43412,140.217363,59,0
2016/07/05,8:03:12,1,35.43412,140.217363,59,0
2016/07/05,8:03:14,1,35.43412,140.217363,59,0
2016/07/05,8:03:16,1,35.43412,140.217363,59,0
2016/07/05,8:03:18,1,35.43412,140.217363,59,0
2016/07/05,8:03:20,1,35.43412,140.217363,59,0
2016/07/05,8:03:22,1,35.43412,140.217363,59,0
2016/07/05,8:03:24,1,35.43412,140.217363,59,0
2016/07/05,8:03:26,1,35.43412,140.217363,59,1
2016/07/05,8:03:28,1,35.43412,140.217363,59,0
2016/07/05,8:03:30,1,35.43412,140.217363,59,0
2016/07/05,8:03:32,1,35.43412,140.217363,59,0
2016/07/05,8:03:34,1,35.43412,140.217363,59,0
2016/07/05,8:03:36,1,35.43412,140.217363,59,0
2016/07/05,8:03:38,1,35.43412,140.217363,59,0
2016/07/05,8:03:40,1,35.43412,140.217363,59,0
2016/07/05,8:03:42,1,35.43412,140.217363,59,0
2016/07/05,8:03:44,1,35.43412,140.217363,59,0
2016/07/05,8:03:46,1,35.43412,140.217363,59,1
2016/07/05,8:03:48,1,35.43412,140.217363,59,0
